# step   N   rho   U
25800 23 0.0670554 -15.5714
25850 25 0.0728863 -16.359
25900 36 0.104956 -26.015
25950 31 0.090379 -16.8409
26000 32 0.0932945 -22.8504
26050 32 0.0932945 -22.9558
26100 24 0.0699708 -13.5291
26150 24 0.0699708 -11.6003
26200 24 0.0699708 -15.4627
26250 18 0.0524781 -7.12155
26300 17 0.0495627 -6.30109
26350 20 0.058309 -8.34565
26400 15 0.0437318 -4.17481
26450 19 0.0553936 -5.30048
26500 13 0.0379009 -2.16115
26550 17 0.0495627 -5.92741
26600 17 0.0495627 -5.72228
26650 13 0.0379009 -4.07158
26700 16 0.0466472 -5.15634
26750 11 0.03207 -0.538539
26800 12 0.0349854 -2.86021
26850 15 0.0437318 -6.2106
26900 19 0.0553936 -9.87489
26950 18 0.0524781 -12.0028
27000 19 0.0553936 -12.7294
27050 16 0.0466472 -8.14685
27100 24 0.0699708 -14.4507
27150 26 0.0758017 -19.4057
27200 22 0.0641399 -15.0641
27250 20 0.058309 -9.98325
27300 18 0.0524781 -7.33285
27350 12 0.0349854 -0.0103926
27400 14 0.0408163 -2.88799
27450 22 0.0641399 -7.6814
27500 24 0.0699708 -12.7538
27550 18 0.0524781 -7.95435
27600 19 0.0553936 -5.69679
27650 16 0.0466472 -5.36196
27700 17 0.0495627 -4.61118
27750 14 0.0408163 -5.05369
27800 12 0.0349854 -2.37773
27850 6 0.0174927 -0.54669
27900 12 0.0349854 -3.25122
27950 10 0.0291545 -0.31453
28000 11 0.03207 -2.87774
28050 17 0.0495627 -6.92179
28100 16 0.0466472 -3.36494
28150 16 0.0466472 -3.48045
28200 16 0.0466472 -5.0228
28250 17 0.0495627 -6.27742
28300 14 0.0408163 -6.0503
28350 20 0.058309 -7.58341
28400 15 0.0437318 -4.35104
28450 16 0.0466472 -3.3643
28500 15 0.0437318 -4.50544
28550 16 0.0466472 -5.88921
28600 13 0.0379009 -3.6496
28650 13 0.0379009 -3.03602
28700 21 0.0612245 -5.86968
28750 18 0.0524781 -6.0902
28800 16 0.0466472 -3.75413
28850 16 0.0466472 -5.73638
28900 10 0.0291545 -1.51771
28950 10 0.0291545 -2.34609
29000 12 0.0349854 -2.66066
29050 14 0.0408163 -3.65302
29100 22 0.0641399 -12.0463
29150 23 0.0670554 -12.9252
29200 23 0.0670554 -12.4851
29250 18 0.0524781 -8.3208
29300 22 0.0641399 -9.60881
29350 16 0.0466472 -5.76318
29400 14 0.0408163 -9.58136
29450 26 0.0758017 -15.8164
29500 26 0.0758017 -23.0153
29550 27 0.0787172 -18.5429
29600 32 0.0932945 -21.321
29650 30 0.0874636 -21.9761
29700 35 0.102041 -27.747
29750 34 0.0991254 -22.2498
29800 31 0.090379 -16.9954
29850 25 0.0728863 -15.588
29900 23 0.0670554 -12.4311
29950 27 0.0787172 -14.219
